LOC_ID,ID_Provincia,CPA,Localidad,Provincia,Departamento,Long,Lat,noLNG,noLAT,ID_GEO,DeptoID,observaciones,fuente coordenadas
4217,A,A4560TGL,TARTAGAL,SALTA,GENERAL JOSE DE SAN MARTIN,"-63,8333","-22,5333","-63,83333","-22,53333",14922,A2,,acageopc
19559,A,A4562V5V,VESPUCIO,SALTA,GENERAL JOSE DE SAN MARTIN,"-63,8167","-22,6000","-65,27018","-24,20999",14972,A2,,coincidentes varias bases
4403,A,A4432BTN,BETANIA,SALTA,GENERAL MARTIN M GUEMES,"-65,1333","-24,6833","-65,13333","-24,7",13868,A11,,coincidentes varias bases
4404,A,A4432CST,CAMPO SANTO,SALTA,GENERAL MARTIN M GUEMES,"-65,1708","-24,6708","-65,08333","-24,7",13906,A11,,coincidentes varias bases
4411,A,A4432BRD,EL BORDO,SALTA,GENERAL MARTIN M GUEMES,"-65,1708","-24,6708","-65,06877","-24,72842",14031,A11,,coincidentes varias bases
20560,A,A4430Y2R,EL BORDO,SALTA,GENERAL MARTIN M GUEMES,"-64,8833","-24,6167","-65,06877","-24,72842",14030,A11,,coincidentes varias bases
4412,A,A4425GCH,GUACHIPAS,SALTA,GUACHIPAS,"-65,5333","-25,5167","-65,51667","-25,51667",14206,A20,,coincidentes varias bases
19276,A,A4425M2V,SAUCE REDONDO,SALTA,GUACHIPAS,"-65,4481","-25,5426","-65,46667","-25,45",14884,A20,,coincidentes varias bases
18981,A,A4430B9V,SAN ISIDRO,SALTA,IRUYA,"-65,2473","-22,7447","-63,23447","-23,82564",14792,A5,San Isidro o San Isidro de Iruya,wikipedia
4413,A,A4401CDR,LA CALDERA,SALTA,LA CALDERA,"-65,3833","-24,6000","-65,43104","-24,79877",13887,A10,,coincidentes varias bases
4393,A,A4401SLZ,SAN LORENZO,SALTA,LA CALDERA,"-65,4194","-24,6806","-65,28551","-24,6857",14985,A10,,coincidentes varias bases
4394,A,A4401VQR,VAQUERO,SALTA,LA CALDERA,"-65,4167","-24,7167","-65,41667","-24,71667",14967,A10,,coincidentes varias bases
4408,A,A4126ESP,EL ESPINAL,SALTA,LA CANDELARIA,"-65,0774","-25,9271","-65,07741","-25,92708",14063,A23,,acageopc
4407,A,A4126EJD,EL JARDIN,SALTA,LA CANDELARIA,"-65,3833","-26,0833","-65,38333","-26,08333",14074,A23,,coincidentes varias bases
4397,A,A4421CMD,CORONEL MOLDES,SALTA,LA VIÑA,"-65,4833","-25,2667","-65,47531","-25,27893",13986,A18,,wikipedia
4400,A,A4425LVÑ,LA VIÑA,SALTA,LA VIÑA,"-65,5833","-25,4667","-65,58333","-25,46667",14354,A18,,acageopc
4401,A,A4425TPP,TALAPAMPA,SALTA,LA VIÑA,"-65,5667","-25,5334","-65,62072","-25,59339",14918,A18,,wikipedia
4386,A,A4440MTN,METAN,SALTA,METAN,"-64,9500","-25,4833","-64,96667","-25,5",14506,A15,,coincidentes varias bases
17927,A,A4440B5U,NOGALITO,SALTA,METAN,"-65,2292","-25,3583",-65,"-26,45",14548,A15,,coincidentes varias bases
4405,A,A4434RPD,RIO PIEDRAS,SALTA,METAN,"-64,9167","-25,3000","-64,91667","-25,3",14730,A15,,acageopc
3341,A,A4530ORN,ORAN,SALTA,ORAN,"-64,3260","-23,1322","-64,33333","-23,13333",14557,A4,,coincidentes varias bases
20316,A,A4554K7R,CAMPO LARGO,SALTA,RIVADAVIA,"-62,5079","-22,5475","-62,50788","-22,54751",13903,A1,,acageopc
21994,A,A4554,LOS RANCHILLOS,SALTA,RIVADAVIA,"-63,2167","-23,4143",,,14463,A1,,
19743,A,A4190Z3Q,AGUAS CALIENTES,SALTA,ROSARIO DE LA FRONTERA,"-65,0333","-25,8000","-65,26502","-24,24511",13794,A21,,coincidentes varias bases
20559,A,A4193Y1R,EL BORDO,SALTA,ROSARIO DE LA FRONTERA,"-64,7939","-25,9122","-65,06877","-24,72842",14029,A21,,coincidentes varias bases
21133,A,A4400Y9S,LA CRUZ,SALTA,ROSARIO DE LA FRONTERA,"-64,7939","-25,9121","-65,26667","-24,9",14284,A21,,coincidentes varias bases
4442,A,A4190RDF,ROSARIO DE LA FRONTERA,SALTA,ROSARIO DE LA FRONTERA,"-64,9667","-25,8000","-64,96667","-25,8",14741,A21,,coincidentes varias bases
3550,A,A4407CAQ,CAMPO QUIJANO,SALTA,ROSARIO DE LERMA,"-65,6500","-24,9167","-65,63333","-24,9",13905,A8,,coincidentes varias bases
